iter	Passed	Remaining
0	2	237
1	4	224
2	6	208
3	8	196
4	11	209
5	12	194
6	13	184
7	15	179
8	16	171
9	18	163
10	19	157
11	20	151
12	22	150
13	24	152
14	26	148
15	27	145
16	29	142
17	30	140
18	32	137
19	33	135
20	35	132
21	36	130
22	39	131
23	41	129
24	42	128
25	44	125
26	45	122
27	46	120
28	48	118
29	49	116
30	52	116
31	54	115
32	56	115
33	58	113
34	59	111
35	61	109
36	62	106
37	64	104
38	66	103
39	68	102
40	70	101
41	71	98
42	72	96
43	73	94
44	75	92
45	77	90
46	78	88
47	80	86
48	82	86
49	84	84
50	85	82
51	87	80
52	88	78
53	90	76
54	91	74
55	92	72
56	93	70
57	95	69
58	97	67
59	98	65
60	100	64
61	101	62
62	103	60
63	104	58
64	105	56
65	107	55
66	108	53
67	109	51
68	111	49
69	112	48
70	113	46
71	115	44
72	116	43
73	118	41
74	119	39
75	121	38
76	122	36
77	124	34
78	125	33
79	126	31
80	128	30
81	129	28
82	131	26
83	132	25
84	134	23
85	135	22
86	137	20
87	138	18
88	140	17
89	141	15
90	143	14
91	144	12
92	145	10
93	147	9
94	148	7
95	150	6
96	151	4
97	152	3
98	154	1
99	155	0
