iter	Passed	Remaining
0	1	1893
1	3	1802
2	5	1720
3	7	1818
4	9	1841
5	11	1856
6	12	1803
7	14	1808
8	16	1789
9	18	1821
10	20	1822
11	22	1837
12	24	1843
13	25	1817
14	27	1828
15	29	1808
16	31	1803
17	33	1809
18	35	1808
19	36	1806
20	38	1812
21	40	1803
22	42	1794
23	43	1779
24	45	1762
25	46	1747
26	48	1733
27	49	1728
28	51	1721
29	53	1714
30	54	1701
31	56	1704
32	58	1700
33	59	1691
34	61	1686
35	62	1683
36	64	1685
37	66	1687
38	68	1694
39	70	1694
40	72	1692
41	73	1683
42	75	1677
43	76	1671
44	78	1668
45	80	1667
46	82	1666
47	83	1662
48	85	1658
49	87	1655
50	88	1649
51	90	1644
52	91	1637
53	93	1635
54	95	1634
55	96	1633
56	98	1629
57	99	1622
58	101	1619
59	103	1613
60	104	1605
61	105	1598
62	107	1592
63	108	1588
64	110	1583
65	111	1578
66	113	1577
67	114	1573
68	116	1572
69	117	1566
70	119	1561
71	121	1560
72	122	1560
73	124	1555
74	125	1551
75	127	1547
76	128	1543
77	130	1540
78	131	1535
79	133	1532
80	134	1526
81	136	1523
82	136	1511
83	138	1512
84	140	1510
85	141	1505
86	143	1501
87	144	1499
88	146	1496
89	147	1493
90	149	1488
91	150	1485
92	152	1483
93	153	1481
94	155	1478
95	156	1476
96	158	1474
97	159	1469
98	161	1467
99	162	1463
100	164	1461
101	165	1459
102	167	1457
103	169	1456
104	170	1454
105	172	1452
106	173	1449
107	175	1447
108	176	1445
109	178	1440
110	179	1438
111	181	1436
112	182	1434
113	184	1433
114	186	1431
115	187	1427
116	188	1422
117	189	1419
118	191	1415
119	192	1414
120	194	1411
121	195	1409
122	197	1409
123	198	1405
124	200	1403
125	201	1399
126	202	1395
127	204	1390
128	205	1387
129	206	1384
130	208	1380
131	209	1377
132	211	1375
133	212	1375
134	214	1373
135	215	1370
136	217	1367
137	218	1365
138	220	1364
139	221	1362
140	223	1360
141	224	1354
142	225	1353
143	227	1352
144	229	1350
145	230	1348
146	231	1345
147	233	1343
148	235	1342
149	236	1340
150	237	1337
151	239	1335
152	241	1334
153	242	1332
154	243	1330
155	245	1328
156	246	1325
157	248	1323
158	249	1321
159	251	1320
160	252	1315
161	253	1313
162	255	1312
163	257	1311
164	258	1308
165	260	1306
166	261	1305
167	263	1302
168	264	1300
169	265	1298
170	267	1297
171	269	1295
172	270	1293
173	272	1291
174	273	1288
175	274	1285
176	275	1282
177	277	1280
178	278	1277
179	279	1275
180	281	1273
181	282	1269
182	284	1269
183	286	1268
184	287	1266
185	288	1264
186	290	1261
187	291	1259
188	293	1257
189	294	1256
190	296	1254
191	297	1252
192	299	1250
193	300	1249
194	302	1248
195	304	1247
196	305	1245
197	307	1243
198	308	1241
199	309	1238
200	310	1235
201	312	1233
202	313	1231
203	315	1229
204	316	1227
205	318	1226
206	319	1225
207	321	1224
208	322	1222
209	324	1219
210	325	1217
211	327	1215
212	328	1214
213	330	1212
214	331	1210
215	332	1208
216	334	1205
